"landtype","spp","DOMName","poolID","amountAtT0"
136,"ACER.SAH","MED",5,0
136,"ACER.SAH","Slow_A",6,165
136,"ACER.SAH","Slow_B",7,470
136,"ACER.SAH","Sng_Stem",8,0
136,"ACER.SAH","Sng_Oth",9,2
136,"ACER.SAH","Extra",10,0
137,"ACER.SAH","VF_A",1,7
137,"ACER.SAH","VF_B",2,3
137,"ACER.SAH","Fast_A",3,14
137,"ACER.SAH","Fast_B",4,6
137,"ACER.SAH","MED",5,14
137,"ACER.SAH","Slow_A",6,230
137,"ACER.SAH","Slow_B",7,718
137,"ACER.SAH","Sng_Stem",8,3
137,"ACER.SAH","Sng_Oth",9,1
137,"ACER.SAH","Extra",10,0
217,"ACER.SAH","VF_A",1,1
217,"ACER.SAH","VF_B",2,0
217,"ACER.SAH","Fast_A",3,4
217,"ACER.SAH","Fast_B",4,1
217,"ACER.SAH","MED",5,0
217,"ACER.SAH","Slow_A",6,36
217,"ACER.SAH","Slow_B",7,112
217,"ACER.SAH","Sng_Stem",8,0
217,"ACER.SAH","Sng_Oth",9,0
217,"ACER.SAH","Extra",10,0
218,"ACER.SAH","VF_A",1,1
218,"ACER.SAH","VF_B",2,0
218,"ACER.SAH","Fast_A",3,1
218,"ACER.SAH","Fast_B",4,0
218,"ACER.SAH","MED",5,0
218,"ACER.SAH","Slow_A",6,14
218,"ACER.SAH","Slow_B",7,52
218,"ACER.SAH","Sng_Stem",8,0
218,"ACER.SAH","Sng_Oth",9,0
218,"ACER.SAH","Extra",10,0
219,"ACER.SAH","VF_A",1,1
219,"ACER.SAH","VF_B",2,0
219,"ACER.SAH","Fast_A",3,2
219,"ACER.SAH","Fast_B",4,0
219,"ACER.SAH","MED",5,0
219,"ACER.SAH","Slow_A",6,18
219,"ACER.SAH","Slow_B",7,64
219,"ACER.SAH","Sng_Stem",8,0
219,"ACER.SAH","Sng_Oth",9,0
219,"ACER.SAH","Extra",10,0
220,"ACER.SAH","VF_A",1,3
220,"ACER.SAH","VF_B",2,1
220,"ACER.SAH","Fast_A",3,7
220,"ACER.SAH","Fast_B",4,2
220,"ACER.SAH","MED",5,3
220,"ACER.SAH","Slow_A",6,68
220,"ACER.SAH","Slow_B",7,202
220,"ACER.SAH","Sng_Stem",8,1
220,"ACER.SAH","Sng_Oth",9,1
220,"ACER.SAH","Extra",10,0
221,"ACER.SAH","VF_A",1,7
221,"ACER.SAH","VF_B",2,2
221,"ACER.SAH","Fast_A",3,12
221,"ACER.SAH","Fast_B",4,4
221,"ACER.SAH","MED",5,8
221,"ACER.SAH","Slow_A",6,130
221,"ACER.SAH","Slow_B",7,391
221,"ACER.SAH","Sng_Stem",8,2
221,"ACER.SAH","Sng_Oth",9,1
221,"ACER.SAH","Extra",10,0
222,"ACER.SAH","VF_A",1,0
222,"ACER.SAH","VF_B",2,0
222,"ACER.SAH","Fast_A",3,0
