"landtype","spp","DOMName","poolID","amountAtT0"
8,"BETU.ALL","VF_A",1,0
8,"BETU.ALL","VF_B",2,0
8,"BETU.ALL","Fast_A",3,0
8,"BETU.ALL","Fast_B",4,0
8,"BETU.ALL","MED",5,0
8,"BETU.ALL","Slow_A",6,4
8,"BETU.ALL","Slow_B",7,16
8,"BETU.ALL","Sng_Stem",8,0
8,"BETU.ALL","Sng_Oth",9,0
8,"BETU.ALL","Extra",10,0
9,"BETU.ALL","VF_A",1,0
9,"BETU.ALL","VF_B",2,0
9,"BETU.ALL","Fast_A",3,0
9,"BETU.ALL","Fast_B",4,0
9,"BETU.ALL","MED",5,0
9,"BETU.ALL","Slow_A",6,4
9,"BETU.ALL","Slow_B",7,17
9,"BETU.ALL","Sng_Stem",8,0
9,"BETU.ALL","Sng_Oth",9,0
9,"BETU.ALL","Extra",10,0
16,"BETU.ALL","VF_A",1,18
16,"BETU.ALL","VF_B",2,2
16,"BETU.ALL","Fast_A",3,9
16,"BETU.ALL","Fast_B",4,2
16,"BETU.ALL","MED",5,5
16,"BETU.ALL","Slow_A",6,68
16,"BETU.ALL","Slow_B",7,172
16,"BETU.ALL","Sng_Stem",8,4
16,"BETU.ALL","Sng_Oth",9,1
16,"BETU.ALL","Extra",10,0
17,"BETU.ALL","VF_A",1,16
17,"BETU.ALL","VF_B",2,2
17,"BETU.ALL","Fast_A",3,15
17,"BETU.ALL","Fast_B",4,2
17,"BETU.ALL","MED",5,9
17,"BETU.ALL","Slow_A",6,90
17,"BETU.ALL","Slow_B",7,223
17,"BETU.ALL","Sng_Stem",8,8
17,"BETU.ALL","Sng_Oth",9,6
17,"BETU.ALL","Extra",10,0
58,"BETU.ALL","VF_A",1,10
58,"BETU.ALL","VF_B",2,2
58,"BETU.ALL","Fast_A",3,21
58,"BETU.ALL","Fast_B",4,2
58,"BETU.ALL","MED",5,12
58,"BETU.ALL","Slow_A",6,117
58,"BETU.ALL","Slow_B",7,303
58,"BETU.ALL","Sng_Stem",8,6
58,"BETU.ALL","Sng_Oth",9,10
58,"BETU.ALL","Extra",10,0
59,"BETU.ALL","VF_A",1,11
59,"BETU.ALL","VF_B",2,2
59,"BETU.ALL","Fast_A",3,18
59,"BETU.ALL","Fast_B",4,2
59,"BETU.ALL","MED",5,5
59,"BETU.ALL","Slow_A",6,99
